Category,Command,Purpose
CLUSTER INFORMATION,kubectl config use-context <context-name>,Switch to a different cluster context
CLUSTER INFORMATION,kubectl config current-context,Display the currently active context
CLUSTER INFORMATION,kubectl cluster-info,Display cluster endpoint information and services
CLUSTER INFORMATION,kubectl version,Show client and server Kubernetes versions
CLUSTER INFORMATION,kubectl get nodes,List all nodes in the cluster
CLUSTER INFORMATION,kubectl describe node <node-name>,Show detailed information about a specific node
CLUSTER INFORMATION,kubectl get events --all-namespaces,View cluster-wide events for troubleshooting
NODES,kubectl get nodes,Display all cluster nodes with status
NODES,kubectl describe node <node-name>,Show detailed node specifications and conditions
NODES,kubectl top nodes,Display CPU and memory usage for nodes (requires metrics-server)
NODES,kubectl label nodes <node-name> <key>=<value>,Add labels to nodes for scheduling purposes
NODES,kubectl label nodes <node-name> <key>-,Remove specific labels from nodes
NODES,kubectl cordon <node-name>,Mark node as unschedulable for maintenance
NODES,kubectl uncordon <node-name>,Mark node as schedulable again
NODES,kubectl drain <node-name> --ignore-daemonsets,Safely evict pods from node for maintenance
NAMESPACES,kubectl get namespaces,Display all namespaces in the cluster
NAMESPACES,kubectl create namespace <namespace-name>,Create a new namespace
NAMESPACES,kubectl delete namespace <namespace-name>,Delete a namespace and all its resources
NAMESPACES,kubectl config set-context --current --namespace=<name>,Change default namespace for kubectl commands
NAMESPACES,kubectl get <resource> -n <namespace-name>,List resources in a specific namespace
NAMESPACES,kubectl get <resource> --all-namespaces,List resources across all namespaces
PODS,kubectl get pods,Display pods in current namespace
PODS,kubectl get pods --all-namespaces,Display pods across all namespaces
PODS,kubectl describe pod <pod-name>,Show detailed pod specifications and events
PODS,kubectl apply -f <pod-file.yaml>,Create pod from configuration file
PODS,kubectl delete pod <pod-name>,Remove a specific pod
PODS,kubectl logs <pod-name>,View logs from a pod
PODS,kubectl logs <pod-name> -c <container-name>,View logs from specific container in multi-container pod
PODS,kubectl logs -f <pod-name>,Stream pod logs continuously
PODS,kubectl exec -it <pod-name> -- <command>,Run interactive commands inside a pod
PODS,kubectl exec -it <pod-name> -c <container-name> -- <command>,Run commands in specific container of multi-container pod
PODS,kubectl port-forward <pod-name> <local-port>:<pod-port>,Forward local port to pod port for testing
PODS,kubectl top pods,Display CPU and memory usage for pods
PODS,kubectl cp <local-file> <pod-name>:<pod-file>,Copy file from local machine to pod
PODS,kubectl cp <pod-name>:<pod-file> <local-file>,Copy file from pod to local machine
DEPLOYMENTS,kubectl get deployments,Display all deployments in current namespace
DEPLOYMENTS,kubectl create deployment <name> --image=<image>,Create a new deployment with specified image
DEPLOYMENTS,kubectl apply -f <deployment-file.yaml>,Create or update deployment from YAML file
DEPLOYMENTS,kubectl describe deployment <deployment-name>,Show detailed deployment specifications and status
DEPLOYMENTS,kubectl scale deployment <name> --replicas=<number>,Change number of replicas for a deployment
DEPLOYMENTS,kubectl set image deployment/<name> <container>=<image>,Update container image in deployment
DEPLOYMENTS,kubectl rollout status deployment/<name>,Check status of deployment rollout
DEPLOYMENTS,kubectl rollout history deployment/<name>,View deployment rollout history
DEPLOYMENTS,kubectl rollout undo deployment/<name>,Rollback to previous deployment version
DEPLOYMENTS,kubectl rollout undo deployment/<name> --to-revision=<n>,Rollback to specific deployment revision
DEPLOYMENTS,kubectl rollout pause deployment/<name>,Pause ongoing deployment rollout
DEPLOYMENTS,kubectl rollout resume deployment/<name>,Resume paused deployment rollout
DEPLOYMENTS,kubectl delete deployment <deployment-name>,Remove deployment and its pods
SERVICES,kubectl get services,Display all services in current namespace
SERVICES,kubectl expose deployment <name> --port=<port> --type=<type>,Create service to expose deployment
SERVICES,kubectl apply -f <service-file.yaml>,Create or update service from YAML file
SERVICES,kubectl describe service <service-name>,Show detailed service specifications and endpoints
